SA,Q
"((0, 4, 240), 0)",2.2804008157909736
"((0, 0, 90), 0)",-21.924950740948844
"((1, 0, 90), 1)",-1.2767035840070418
"((1, 3, 180.0), 1)",7.450192539157882
"((0, 2, 300), 1)",3.201466051282051
"((-1, 3, 150.0), 1)",1.3774655247679586
"((2, 4, 180), 0)",3.609120673190597
"((-2, 2, 300), 1)",12.987021132582887
"((2, 2, 240), 1)",0.9948588555625254
"((-2, 1, 240), 0)",14.297807660824406
"((0, 2, 300), 0)",20.37410732479347
"((1, 2, 300), 1)",25.558070813615792
"((0, 2, 240), 0)",8.417460890507652
"((1, 2, 240), 0)",25.904138070645786
"((1, 3, 240), 0)",19.08743332247933
"((1, 0, 180.0), 1)",9.6637429791612
"((2, 4, 210), 0)",-1.973404088596637
"((-1, 0, 210), 0)",18.23128888655718
"((2, 4, 150), 0)",0.2627047561825437
"((2, 1, 150), 0)",9.25143512459024
"((-2, 1, 270), 0)",3.1433127862211543
"((2, 0, 240), 1)",1.5605628599146792
"((1, 2, 180), 1)",5.136685290302029
"((1, 0, 300), 1)",0.9567246010232532
"((1, 3, 210.0), 1)",4.717538055673474
"((-2, 0, 300), 1)",2.3660442710741103
"((-1, 4, 270), 0)",1.2890688366857912
"((1, 1, 270), 1)",0.3905651912119619
"((-2, 2, 60), 1)",3.093605239069453
"((-1, 1, 150), 0)",6.592833674985918
"((0, 1, 150), 0)",0.9371202958878037
"((1, 1, 120), 0)",4.4023852958034215
"((1, 1, 150), 0)",6.561035077668929
"((-1, 1, 150), 1)",1.6246859031952532
"((-1, 0, 240), 1)",5.411053099594668
"((2, 2, 90), 1)",5.834316301368742
"((-1, 1, 60), 1)",-3.0303883096012427
"((-2, 1, 60), 0)",-11.252968203743126
"((1, 3, 270), 0)",8.7092747959909
"((-2, 2, 90), 1)",1.6991252078922792
"((-2, 1, 60), 1)",-16.0459493275
"((1, 2, 270), 0)",6.98773795924937
"((1, 3, 150.0), 1)",3.301584737163993
"((-2, 1, 120), 1)",4.723741944541503
"((-1, 1, 270), 1)",0.5169248063749452
"((-2, 1, 300), 1)",4.260562295321988
"((0, 3, 270), 0)",1.4237988060830418
"((-2, 2, 180), 1)",6.934082051250879
"((-2, 0, 210), 1)",4.033136390753048
"((-1, 1, 210), 1)",2.350186102515333
"((-1, 0, 180), 1)",4.46975661701686
"((-1, 4, 180), 0)",-3.386732828588689
"((-1, 4, 150), 0)",4.8728207164995885
"((0, 4, 150), 0)",1.2776636221622022
"((1, 4, 150), 0)",0.8443318880502836
"((1, 4, 120), 0)",5.365662727054275
"((2, 4, 120), 0)",2.704796177882049
"((2, 4, 90), 0)",-4.597642177653334
"((2, 1, 90), 0)",3.1030065548890264
"((1, 1, 120), 1)",0.554480023415039
"((-2, 1, 90), 1)",1.0098431947625366
"((-1, 0, 120), 1)",1.2649976837172503
"((2, 4, 210), 1)",-1.717835579062995
"((2, 4, 90), 1)",-0.5227221474712254
"((2, 3, 120), 1)",6.140604738341094
"((0, 0, 150), 1)",1.558895519233902
"((2, 1, 60), 0)",1.0206472549652046
"((-2, 3, 210.0), 1)",-0.5280183440256286
"((2, 0, 60), 1)",-72.09246635589311
"((-2, 3, 300), 1)",7.3499100769365056
"((0, 2, 270), 0)",1.4842746977226178
"((-1, 4, 210), 1)",-8.14348999986511
"((2, 4, 120), 1)",1.5216051114187714
"((0, 0, 240), 1)",0.4749520029974053
"((-1, 0, 210), 1)",2.4867810310849303
"((-1, 4, 240), 1)",5.540041541747761
"((0, 1, 60), 1)",-0.1457450557585877
"((-2, 2, 150), 1)",2.30551952357652
"((0, 4, 180), 0)",0.3071578554605802
"((0, 2, 60), 1)",3.2599016567736645
"((-1, 3, 270), 0)",6.017683284476464
"((-1, 4, 180), 1)",3.830584552494028
"((2, 4, 60), 0)",-10.0
"((-1, 0, 270), 1)",0.9303344793779396
"((-2, 0, 150), 1)",0.6112963683342774
"((2, 3, 300), 1)",1.7797474151249462
"((0, 3, 300), 1)",3.68884533127383
"((-1, 2, 180), 1)",2.341139089913169
"((-2, 3, 180), 1)",5.317476598368551
"((-2, 4, 240), 1)",-1.413017441769241
"((-1, 1, 180), 1)",3.625190661567157
"((-1, 4, 150), 1)",1.6340325364470405
"((0, 3, 210.0), 1)",2.477861176702812
"((1, 2, 210), 1)",5.4012277654919085
"((-1, 0, 300), 1)",0.985433195441121
"((-2, 0, 120), 1)",3.2956528928991085
"((-2, 1, 240), 1)",-9.159920806637922
"((1, 0, 60), 0)",-14.40145
"((1, 0, 60), 1)",-44.991867036684894
"((1, 2, 120), 1)",5.044474816183527
"((0, 1, 60), 0)",0.3445805102554262
"((0, 4, 180), 1)",1.0931282262432485
"((1, 2, 270), 1)",0.5669842929700192
"((2, 1, 120), 0)",0.2607285048815506
