SA,Q
"((-1, 4, 80), 1)",0.0
"((-1, 4, 110), 0)",0.0
"((-1, 4, 110), 1)",0.0
"((-1, 4, 140), 0)",0.0
"((-1, 4, 140), 1)",0.0
"((-1, 4, 170), 0)",0.0
"((-1, 4, 170), 1)",0.0
"((-1, 4, 200), 0)",0.0
"((-1, 4, 200), 1)",0.0
"((-1, 4, 230), 0)",0.0
"((-1, 4, 230), 1)",0.0
"((-1, 4, 260), 0)",0.0
"((-1, 4, 260), 1)",0.0
"((-1, 4, 290), 0)",0.0
"((-1, 4, 290), 1)",0.0
"((0, 0, 50), 0)",0.0
"((0, 0, 50), 1)",0.0
"((0, 0, 80), 0)",0.0
"((0, 0, 80), 1)",0.0
"((0, 0, 110), 0)",0.0
"((0, 0, 110), 1)",0.0
"((0, 0, 140), 0)",0.0
"((0, 0, 140), 1)",0.0
"((0, 0, 170), 0)",0.0
"((0, 0, 170), 1)",0.0
"((0, 0, 200), 0)",0.0
"((0, 0, 200), 1)",0.0
"((0, 0, 230), 0)",0.0
"((0, 0, 230), 1)",0.0
"((0, 0, 260), 0)",0.0
"((0, 0, 260), 1)",0.0
"((0, 0, 290), 0)",0.0
"((0, 0, 290), 1)",0.0
"((0, 1, 50), 0)",0.48755198208665
"((0, 1, 50), 1)",0.0
"((0, 1, 80), 0)",0.0
"((0, 1, 80), 1)",0.0
"((0, 1, 110), 0)",0.0
"((0, 1, 110), 1)",0.0
"((0, 1, 140), 0)",0.0
"((0, 1, 140), 1)",0.0
"((0, 1, 170), 0)",0.0
"((0, 1, 170), 1)",0.0
"((0, 1, 200), 0)",0.0
"((0, 1, 200), 1)",0.0
"((0, 1, 230), 0)",0.0
"((0, 1, 230), 1)",0.0
"((0, 1, 260), 0)",0.0
"((0, 1, 260), 1)",0.0
"((0, 1, 290), 0)",0.0
"((0, 1, 290), 1)",0.0
"((0, 2, 50), 0)",10.696639259932674
"((0, 2, 50), 1)",0.0
"((0, 2, 80), 0)",0.0
"((0, 2, 80), 1)",0.0
"((0, 2, 110), 0)",0.0
"((0, 2, 110), 1)",0.0
"((0, 2, 140), 0)",0.0
"((0, 2, 140), 1)",0.0
"((0, 2, 170), 0)",0.0
"((0, 2, 170), 1)",0.0
"((0, 2, 200), 0)",0.0
"((0, 2, 200), 1)",0.0
"((0, 2, 230), 0)",0.0
"((0, 2, 230), 1)",0.0
"((0, 2, 260), 0)",0.0
"((0, 2, 260), 1)",0.0
"((0, 2, 290), 0)",0.0
"((0, 2, 290), 1)",0.0
"((0, 3, 50), 0)",0.568152784877282
"((0, 3, 50), 1)",0.0
"((0, 3, 80), 0)",0.0
"((0, 3, 80), 1)",0.0
"((0, 3, 110), 0)",0.0
"((0, 3, 110), 1)",0.0
"((0, 3, 140), 0)",0.0
"((0, 3, 140), 1)",0.0
"((0, 3, 170), 0)",0.0
"((0, 3, 170), 1)",0.0
"((0, 3, 200), 0)",0.0
"((0, 3, 200), 1)",0.0
"((0, 3, 230), 0)",0.0
"((0, 3, 230), 1)",0.0
"((0, 3, 260), 0)",0.0
"((0, 3, 260), 1)",0.0
"((0, 3, 290), 0)",0.0
"((0, 3, 290), 1)",0.0
"((0, 4, 50), 0)",0.0
"((0, 4, 50), 1)",0.0
"((0, 4, 80), 0)",0.0
"((0, 4, 80), 1)",0.0
"((0, 4, 110), 0)",0.0
"((0, 4, 110), 1)",0.0
"((0, 4, 140), 0)",0.0
"((0, 4, 140), 1)",0.0
"((0, 4, 170), 0)",0.0
"((0, 4, 170), 1)",0.0
"((0, 4, 200), 0)",0.0
"((0, 4, 200), 1)",0.0
"((0, 4, 230), 0)",0.0
"((0, 4, 230), 1)",0.0
"((0, 4, 260), 0)",0.0
"((0, 4, 260), 1)",0.0
"((0, 4, 290), 0)",0.0
"((0, 4, 290), 1)",0.0
"((1, 0, 50), 0)",0.0
